learning_outcome,n,mean,sd,r,p,bis,subject
E81311,10183,0.449322333529758,0.497449572729771,0.340562229009543,0.449322333529758,0.340562229009543,English
E81312,10183,0.426438813592614,0.494583436736814,0.382463410635791,0.426438813592614,0.382463410635791,English
E81313,10183,0.252799057159694,0.434638064615316,0.291067584448652,0.252799057159694,0.291067584448652,English
E81314,10183,0.377528972696916,0.484792666782957,0.341132982655432,0.377528972696916,0.341132982655432,English
E81315,10184,0.217715800844545,0.412713409082501,0.0624013191786059,0.217715800844545,0.0624013191786059,English
E81316,10181,0.343909626719057,0.47503469574647,0.240038227070419,0.343909626719057,0.240038227070419,English
E81317,10180,0.422241870517733,0.493940929690445,0.304846646562403,0.422241870517733,0.304846646562403,English
E81318,10178,0.318561462120468,0.465941401385309,0.29398845061752,0.318561462120468,0.29398845061752,English
E81319,10182,0.412042039092427,0.492226772015829,0.325693382367208,0.412042039092427,0.325693382367208,English
E81320,10182,0.299282978096454,0.457966459009405,0.263338599633907,0.299282978096454,0.263338599633907,English
M70421,10183,0.427126301316048,0.494685210986161,0.299283605749652,0.427126301316048,0.299283605749652,Math
M70722,10182,0.218839013849327,0.413479494594672,0.338160372364799,0.218839013849327,0.338160372364799,Math
M71423,10182,0.32089185738139703,0.46684224311251,0.232537752338326,0.32089185738139703,0.232537752338326,Math
M71824,10181,0.240275049115914,0.427271439693051,0.33662521816704,0.240275049115914,0.33662521816704,Math
M80125,10182,0.396621157057264,0.489220117091349,0.271413907393102,0.396621157057264,0.271413907393102,Math
M80826,10176,0.274791154791155,0.446430916625012,0.40060995090655,0.274791154791155,0.40060995090655,Math
M80927,10184,0.283806343906511,0.450866128439399,0.160695741686618,0.283806343906511,0.160695741686618,Math
M81429,10183,0.312905126694166,0.46369885239225,0.421429350702119,0.312905126694166,0.421429350702119,Math
M81730,10183,0.357984678845021,0.479431145340468,0.294078977038085,0.357984678845021,0.294078977038085,Math
SCI70138,10184,0.441378633150039,0.496576024994847,0.314950582028372,0.441378633150039,0.314950582028372,Science
SCI70237,10185,0.207658321060383,0.405650710725455,0.2921674251342,0.207658321060383,0.2921674251342,Science
SCI70333,10185,0.364653902798233,0.481356607437663,0.307702992014078,0.364653902798233,0.307702992014078,Science
SCI70432,10175,0.243538083538084,0.429238154245424,0.0897698011265446,0.243538083538084,0.0897698011265446,Science
SCI70631,10182,0.379100373207621,0.485186974371785,0.268550125433902,0.379100373207621,0.268550125433902,Science
SCI70940,10183,0.358735146813316,0.479652827033816,0.328129712569625,0.358735146813316,0.328129712569625,Science
SCI80139,10183,0.265638809781008,0.441694454699572,0.0928895594665326,0.265638809781008,0.0928895594665326,Science
SCI80235,10187,0.404535191911259,0.490825956115117,0.0555644388391217,0.404535191911259,0.0555644388391217,Science
SCI81236,10185,0.465488463426608,0.498832021026852,0.266704122238937,0.465488463426608,0.266704122238937,Science
SST70245,10184,0.414375490966222,0.492638076273541,0.327548407909225,0.414375490966222,0.327548407909225,Social Science
SST70246,10184,0.423998428908091,0.494214269998373,0.387091217352486,0.423998428908091,0.387091217352486,Social Science
SST70247,10185,0.390378006872852,0.487858982645108,0.285606342687764,0.390378006872852,0.285606342687764,Social Science
SST71341,10185,0.507707412862052,0.499965137049532,0.428570984156837,0.507707412862052,0.428570984156837,Social Science
SST71642,10184,0.437058130400628,0.496046855372369,0.387285669696746,0.437058130400628,0.387285669696746,Social Science
SST71943,10185,0.495336278841433,0.500002795872482,0.38398086933819,0.495336278841433,0.38398086933819,Social Science
SST72648,10185,0.53912616593029,0.498491264849114,0.32726747765336,0.53912616593029,0.32726747765336,Social Science
SST81144,10184,0.367144540455617,0.482050043308576,0.166156162785772,0.367144540455617,0.166156162785772,Social Science
SST82549,10184,0.497839748625295,0.500019883182166,0.292225152881201,0.497839748625295,0.292225152881201,Social Science
SST83250,10179,0.468906572354848,0.49905677688058,0.342395551869181,0.468906572354848,0.342395551869181,Social Science
T7091,10184,0.465187076500049,0.49881108093416,0.348658462900775,0.465187076500049,0.348658462900775,Tamil
T70910,10179,0.330123796423659,0.470280559934414,0.222313594370107,0.330123796423659,0.222313594370107,Tamil
T7092,10184,0.473730727683394,0.49933396709112,0.335480311451886,0.473730727683394,0.335480311451886,Tamil
T7093,10184,0.313365412943141,0.463884320776326,0.0916271849369418,0.313365412943141,0.0916271849369418,Tamil
T7094,10183,0.545767039874288,0.497925424001885,0.380549825474868,0.545767039874288,0.380549825474868,Tamil
T7095,10185,0.590337784760408,0.491795520456341,0.352328800599739,0.590337784760408,0.352328800599739,Tamil
T7096,10172,0.500344115622849,0.50002446307858,0.421628616083008,0.500344115622849,0.421628616083008,Tamil
T7097,10176,0.376117936117936,0.484433997834563,0.337247839688286,0.376117936117936,0.337247839688286,Tamil
T7098,10179,0.519846728237375,0.499630497337887,0.405585204630546,0.519846728237375,0.405585204630546,Tamil
T7099,10180,0.3342175066313,0.471739363798566,0.24327987561423,0.3342175066313,0.24327987561423,Tamil
