learning_outcome,n,mean,sd,r,p,bis,subject
E50811,13613,0.426934097421203,0.494650735842138,0.3091710053125,0.426934097421203,0.3091710053125,English
E50812,13613,0.30930864741753,0.462225599785591,0.0232313398328697,0.30930864741753,0.0232313398328697,English
E50813,13614,0.446958565971202,0.49719690975814,0.3459647733343,0.446958565971202,0.3459647733343,English
E50814,13618,0.487588131609871,0.499864277888144,0.274830274933129,0.487588131609871,0.274830274933129,English
E50815,13615,0.73429809740689,0.441722463563256,0.383869435604975,0.73429809740689,0.383869435604975,English
E50816,13596,0.673532440782698,0.468937808719371,0.367178353125264,0.673532440782698,0.367178353125264,English
E50817,13594,0.732268981753973,0.442792891976048,0.414633943874284,0.732268981753973,0.414633943874284,English
E50818,13577,0.66585635359116,0.471707601158629,0.362176512798298,0.66585635359116,0.362176512798298,English
E50819,13605,0.589134749687569,0.49200893481993,0.380507733013716,0.589134749687569,0.380507733013716,English
E50820,13598,0.615033833480435,0.486605212581873,0.37368913711011,0.615033833480435,0.37368913711011,English
EVS40136,13627,0.707932780509283,0.454729736230653,0.370852366108852,0.707932780509283,0.370852366108852,EVS
EVS40231,13626,0.83587786259542,0.370399961660742,0.38211520678237,0.83587786259542,0.38211520678237,EVS
EVS40437,13621,0.758240951471992,0.428164769668308,0.448230916533722,0.758240951471992,0.448230916533722,EVS
EVS40835,13626,0.87903699354081,0.326096247724875,0.437347101321534,0.87903699354081,0.437347101321534,EVS
EVS40932,13626,0.429976512037581,0.495090600318725,0.20143848763986,0.429976512037581,0.20143848763986,EVS
EVS50444,13607,0.557139707503491,0.496742577306764,0.318138107611123,0.557139707503491,0.318138107611123,EVS
EVS50539,13621,0.428896556787314,0.494936646982543,0.222189521246144,0.428896556787314,0.222189521246144,EVS
EVS50541,13619,0.495777957265585,0.500000531101405,0.294207841802183,0.495777957265585,0.294207841802183,EVS
EVS50542,13616,0.537088719153937,0.498640840664399,0.292267540945414,0.537088719153937,0.292267540945414,EVS
EVS50543,13613,0.724674943069125,0.446694333630779,0.367168446992296,0.724674943069125,0.367168446992296,EVS
EVS50545,13594,0.514050316316022,0.499820933843032,0.277832771690215,0.514050316316022,0.277832771690215,EVS
EVS50740,13621,0.387196241098304,0.487127019444115,0.295486902551041,0.387196241098304,0.295486902551041,EVS
EVS50833,13626,0.819509688784498,0.384609433591566,0.438543729504157,0.819509688784498,0.438543729504157,EVS
EVS50934,13626,0.822078684674104,0.382460530674791,0.470946086298546,0.822078684674104,0.470946086298546,EVS
EVS51338,13621,0.651053520299537,0.476654501809979,0.370628587911239,0.651053520299537,0.370628587911239,EVS
M40421,13622,0.763436123348018,0.424987846772526,0.404617615009087,0.763436123348018,0.404617615009087,Math
M41222,13618,0.619785546415981,0.485457239198656,0.297871866583735,0.619785546415981,0.297871866583735,Math
M41323,13615,0.486373319620951,0.499832638077975,0.376344015843584,0.486373319620951,0.376344015843584,Math
M42024,13614,0.609094916250367,0.487971097840228,0.397449094445699,0.609094916250367,0.397449094445699,Math
M50225,13617,0.682115313991921,0.465671493320427,0.432316443439934,0.682115313991921,0.432316443439934,Math
M50426,13598,0.742791997646367,0.437111083124212,0.440240789023854,0.742791997646367,0.440240789023854,Math
M50927,13623,0.411423537185229,0.49210973323621,0.0550990970638567,0.411423537185229,0.0550990970638567,Math
M51428,13623,0.698847368034652,0.458775736587615,0.428550115795763,0.698847368034652,0.428550115795763,Math
M51529,13623,0.727406210997724,0.445309974819348,0.433876240857646,0.727406210997724,0.433876240857646,Math
M51630,13622,0.605800293685756,0.488696053437597,0.388460782826873,0.605800293685756,0.388460782826873,Math
T4021,13624,0.817501101159888,0.38626934116824,0.331365955986899,0.817501101159888,0.331365955986899,Tamil
T40210,13591,0.848553977481787,0.358496279479251,0.429915442280692,0.848553977481787,0.429915442280692,Tamil
T4022,13623,0.883268482490272,0.321111881541194,0.401411679045957,0.883268482490272,0.401411679045957,Tamil
T4023,13624,0.811701659080899,0.39096457229204,0.416480300355853,0.811701659080899,0.416480300355853,Tamil
T4024,13621,0.642044202951759,0.47941664640895,0.382169418113526,0.642044202951759,0.382169418113526,Tamil
T4025,13624,0.727793275583615,0.445112084837876,0.254252341081715,0.727793275583615,0.254252341081715,Tamil
T4026,13591,0.837809993376996,0.368638588185048,0.372399222762355,0.837809993376996,0.372399222762355,Tamil
T4027,13590,0.885781571975272,0.318088077428648,0.395371666051196,0.885781571975272,0.395371666051196,Tamil
T4028,13577,0.898342541436464,0.302208450389035,0.353193880104805,0.898342541436464,0.353193880104805,Tamil
T4029,13588,0.831002502576181,0.374763500044223,0.402233990275638,0.831002502576181,0.402233990275638,Tamil
